SystemID,SystemName,SchoolID_SchoolName,KK_12_PercentFRL,state_abbrev,academic_school_year
601,Appling County,1050 - Altamaha Elementary School,90.37,GA,2020-2021
601,Appling County,0103 - Appling County High School,90.34,GA,2020-2021
601,Appling County,0277 - Appling County Primary School,90.28,GA,2020-2021
601,Appling County,5050 - Fourth District Elementary School,90.48,GA,2020-2021
601,Appling County,0177 - Appling County Elementary School,90.38,GA,2020-2021
601,Appling County,0195 - Appling County Middle School,90.4,GA,2020-2021
602,Atkinson County,0103 - Atkinson County High School,80.26,GA,2020-2021
602,Atkinson County,0111 - Atkinson County Middle School,85.87,GA,2020-2021
602,Atkinson County,0190 - Pearson Elementary School,86.01,GA,2020-2021
602,Atkinson County,0187 - Willacoochee Elementary School,90.73,GA,2020-2021
761,Atlanta Public Schools,3057 - Continental Colony Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1063 - Emma Hutchinson Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4063 - M. A. Jones Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5558 - Paul L. Dunbar Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0315 - Booker T. Washington High School,*,GA,2020-2021
761,Atlanta Public Schools,5066 - Barack and Michelle Obama Academy,*,GA,2020-2021
761,Atlanta Public Schools,0604 - Bazoline E. Usher/Collier Heights Elmentary School,*,GA,2020-2021
761,Atlanta Public Schools,0282 - Jean Childs Young Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0180 - Ralph Bunche Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0215 - Kipp WAYS Primary Charter School,94.85,GA,2020-2021
761,Atlanta Public Schools,0214 - KIPP Vision Primary Charter School,94.95,GA,2020-2021
761,Atlanta Public Schools,1413 - Carver High School,*,GA,2020-2021
761,Atlanta Public Schools,1414 - Michael R. Hollis Innovation Academy,*,GA,2020-2021
761,Atlanta Public Schools,0201 - Charles R. Drew Charter School,34.14,GA,2020-2021
761,Atlanta Public Schools,1064 - L. O. Kimberly Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1560 - Garden Hills Elementary School,45.5,GA,2020-2021
761,Atlanta Public Schools,4066 - Thomas Heathe Slater Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4560 - Midtown High School,9.82,GA,2020-2021
761,Atlanta Public Schools,3566 - William J. Scott Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,4058 - Frederick Douglass High School,*,GA,2020-2021
761,Atlanta Public Schools,0115 - Kipp Strive Charter School,94.81,GA,2020-2021
761,Atlanta Public Schools,1664 - Morningside Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,2563 - Jackson Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,3559 - R. N. Fickett Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0403 - Hank Aaron New Beginnings Academy,*,GA,2020-2021
761,Atlanta Public Schools,0199 - Centennial Place Academy (Charter),*,GA,2020-2021
761,Atlanta Public Schools,0605 - KIPP WAYS Academy Charter School,95,GA,2020-2021
761,Atlanta Public Schools,0296 - T. J. Perkerson Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5567 - Fred A. Toomer Elementary School,42.86,GA,2020-2021
761,Atlanta Public Schools,1208 - Wesley International Academy Charter,54.39,GA,2020-2021
761,Atlanta Public Schools,1563 - David T Howard Middle School,8.75,GA,2020-2021
761,Atlanta Public Schools,0188 - Sylvan Hills Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0101 - Parkside Elementary School,41.83,GA,2020-2021
761,Atlanta Public Schools,1053 - William M.Boyd Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1416 - Tuskegee Airman Global Academy,*,GA,2020-2021
761,Atlanta Public Schools,0122 - KIPP VISION Charter School,94.88,GA,2020-2021
761,Atlanta Public Schools,0314 - Westside Atlanta Charter School,50.6,GA,2020-2021
761,Atlanta Public Schools,1409 - D. M. Therrell High School,*,GA,2020-2021
761,Atlanta Public Schools,0186 - Maynard Jackson High School,41.15,GA,2020-2021
761,Atlanta Public Schools,1417 - Kindezi Old 4th Ward,*,GA,2020-2021
761,Atlanta Public Schools,4056 - Cleveland Avenue Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1421 - Harper-Archer Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,2569 - West Manor Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,1418 - John Lewis Invictus Academy,*,GA,2020-2021
761,Atlanta Public Schools,0206 - Atlanta Neighborhood Charter - Middle,11.54,GA,2020-2021
761,Atlanta Public Schools,0105 - Finch Elementary,*,GA,2020-2021
761,Atlanta Public Schools,0116 - Springdale Park Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,0207 - Hillside Conant School,*,GA,2020-2021
761,Atlanta Public Schools,0515 - Charles Drew Charter JA/SR Academy,44.53,GA,2020-2021
761,Atlanta Public Schools,1411 - B.E.S.T Academy,*,GA,2020-2021
761,Atlanta Public Schools,0106 - G.W. Carver High School Early College,*,GA,2020-2021
761,Atlanta Public Schools,0212 - Kipp Atlanta Collegiate Charter School,94.98,GA,2020-2021
761,Atlanta Public Schools,1415 - Woodson Park Academy School,*,GA,2020-2021
761,Atlanta Public Schools,1422 - KIPP Soul Academy,*,GA,2020-2021
761,Atlanta Public Schools,1410 - Corretta Scott King Young Womens' Leadership Academy,*,GA,2020-2021
761,Atlanta Public Schools,1567 - Sara Rawson Smith Elementary School,18.09,GA,2020-2021
761,Atlanta Public Schools,1412 - South Atlanta High School,*,GA,2020-2021
761,Atlanta Public Schools,3051 - Beecher Hills Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0505 - Atlanta Neighborhood Charter - Elementary,5.58,GA,2020-2021
761,Atlanta Public Schools,0123 - The Kindezi School,*,GA,2020-2021
761,Atlanta Public Schools,2053 - Morris Brandon Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,2062 - The John Hope-Charles Walter Hill Elementary Schools,*,GA,2020-2021
761,Atlanta Public Schools,1419 - KIPP Soul Primary,*,GA,2020-2021
761,Atlanta Public Schools,0303 - Bolton Academy Elementary,35.33,GA,2020-2021
761,Atlanta Public Schools,0305 - Burgess-Peterson Elementary School,14.11,GA,2020-2021
761,Atlanta Public Schools,0103 - Heritage Academy Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,3067 - Willis A. Sutton Middle School,16.98,GA,2020-2021
761,Atlanta Public Schools,0182 - Benjamin E. Mays High School,*,GA,2020-2021
761,Atlanta Public Schools,0213 - KIPP Strive Primary Charter School,94.91,GA,2020-2021
761,Atlanta Public Schools,0192 - North Atlanta High School,16.13,GA,2020-2021
761,Atlanta Public Schools,2560 - Charles L. Gideons Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0304 - Deerwood Academy,*,GA,2020-2021
761,Atlanta Public Schools,1066 - E. Rivers Elementary School,17.51,GA,2020-2021
761,Atlanta Public Schools,0173 - Crawford Long Middle School,*,GA,2020-2021
761,Atlanta Public Schools,0196 - Cascade Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5051 - Benteen Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0100 - Herman J. Russell West End Academy,*,GA,2020-2021
761,Atlanta Public Schools,5067 - Thomasville Heights Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0288 - Judson Price Middle School,*,GA,2020-2021
761,Atlanta Public Schools,2564 - Mary Lin Elementary School,#,GA,2020-2021
761,Atlanta Public Schools,5566 - F. L. Stanton Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,3065 - Peyton Forest Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0513 - Miles Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0104 - John Wesley Dobbs Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,5562 - Joseph Humphries Elementary School,*,GA,2020-2021
761,Atlanta Public Schools,0415 - Atlanta Classical Academy,14.97,GA,2020-2021
761,Atlanta Public Schools,0373 - Martin L. King Jr. Middle School,*,GA,2020-2021
603,Bacon County,0302 - Bacon County High School,51.88,GA,2020-2021
603,Bacon County,0102 - Bacon County Primary School,84.56,GA,2020-2021
603,Bacon County,3050 - Bacon County Elementary School,84.63,GA,2020-2021
603,Bacon County,0202 - Bacon County Middle School,77.48,GA,2020-2021
604,Baker County,0105 - Baker County K12 School,*,GA,2020-2021
605,Baldwin County,0189 - Baldwin High School,92.86,GA,2020-2021
605,Baldwin County,0301 - Midway Hills Primary,92.86,GA,2020-2021
605,Baldwin County,0303 - Midway Hills Academy,92.9,GA,2020-2021
605,Baldwin County,0300 - Lakeview Academy,92.78,GA,2020-2021
605,Baldwin County,0302 - Lakeview Primary,92.92,GA,2020-2021
605,Baldwin County,0100 - Oak Hill MS,92.93,GA,2020-2021
606,Banks County,0199 - Banks County High School,39.86,GA,2020-2021
606,Banks County,0205 - Banks County Primary School,59.35,GA,2020-2021
606,Banks County,0107 - Banks County Elementary School,56.01,GA,2020-2021
606,Banks County,0105 - Banks County Middle School,55.51,GA,2020-2021
607,Barrow County,0299 - Winder Elementary School,57.66,GA,2020-2021
607,Barrow County,0198 - Westside Middle School,52.83,GA,2020-2021
607,Barrow County,0300 - Barrow Arts and Sciences Academy,38.31,GA,2020-2021
607,Barrow County,0101 - Apalachee High School,40.06,GA,2020-2021
607,Barrow County,0193 - Bramlett Elementary School,30.69,GA,2020-2021
607,Barrow County,5050 - Statham Elementary School,57.38,GA,2020-2021
607,Barrow County,0189 - Kennedy Elementary School,53.25,GA,2020-2021
607,Barrow County,1050 - Auburn Elementary School,59.87,GA,2020-2021
607,Barrow County,0105 - County Line Elementary School,45.53,GA,2020-2021
607,Barrow County,0289 - Russell Middle School,42.8,GA,2020-2021
607,Barrow County,0205 - Bethlehem Elementary School,54.25,GA,2020-2021
607,Barrow County,0106 - Haymon-Morris Middle School,46.06,GA,2020-2021
607,Barrow County,3052 - Winder-Barrow High School,34.17,GA,2020-2021
607,Barrow County,0114 - Bear Creek Middle School,47.52,GA,2020-2021
607,Barrow County,0298 - Yargo Elementary School,56.33,GA,2020-2021
607,Barrow County,4050 - Holsenbeck Elementary School,47.22,GA,2020-2021
608,Bartow County,0377 - Hamilton Crossing Elementary School,52.11,GA,2020-2021
608,Bartow County,2052 - Emerson Elementary School,65.81,GA,2020-2021
608,Bartow County,0177 - Adairsville Elementary School,51.29,GA,2020-2021
608,Bartow County,0175 - White Elementary School,57.51,GA,2020-2021
608,Bartow County,0107 - Euharlee Elementary School,49.07,GA,2020-2021
608,Bartow County,0114 - Cass High School,44.05,GA,2020-2021
608,Bartow County,0198 - Woodland High School,43.16,GA,2020-2021
608,Bartow County,0105 - Adairsville High School,43.27,GA,2020-2021
608,Bartow County,0296 - Kingston Elementary School,74.03,GA,2020-2021
608,Bartow County,0101 - Woodland Middle School at Euharlee,49.52,GA,2020-2021
608,Bartow County,0186 - Mission Road Elementary School,54.2,GA,2020-2021
608,Bartow County,0190 - Red Top Middle School,67.4,GA,2020-2021
608,Bartow County,0104 - Clear Creek Elementary School,48.56,GA,2020-2021
608,Bartow County,0301 - Adairsville Middle School,48.12,GA,2020-2021
608,Bartow County,0196 - Allatoona Elementary School,69.62,GA,2020-2021
608,Bartow County,0195 - Cass Middle School,52.96,GA,2020-2021
608,Bartow County,0396 - Taylorsville Elementary School,48.19,GA,2020-2021
608,Bartow County,0106 - Pine Log Elementary,53.13,GA,2020-2021
608,Bartow County,0115 - Cloverleaf Elementary,61.41,GA,2020-2021
609,Ben Hill County,0111 - Ben Hill Elementary School,88.87,GA,2020-2021
609,Ben Hill County,0291 - Fitzgerald High School,65.08,GA,2020-2021
609,Ben Hill County,0196 - Ben Hill County Primary School,88.94,GA,2020-2021
609,Ben Hill County,0392 - Hurricane Transition Academy,88.89,GA,2020-2021
609,Ben Hill County,0296 - Ben Hill County Middle School,88.9,GA,2020-2021
610,Berrien County,0194 - Berrien Middle School,55.06,GA,2020-2021
610,Berrien County,0106 - Berrien Academy Performance Learning Center,38.81,GA,2020-2021
610,Berrien County,5050 - Berrien Primary School,83.36,GA,2020-2021
610,Berrien County,0101 - Berrien High School,45.93,GA,2020-2021
610,Berrien County,0195 - Berrien Elementary School,83.44,GA,2020-2021
611,Bibb County,2060 - Hartley Elementary School,*,GA,2020-2021
611,Bibb County,0203 - Vineville Academy,*,GA,2020-2021
611,Bibb County,0386 - Southwest High School,*,GA,2020-2021
611,Bibb County,3060 - Heard Elementary School,*,GA,2020-2021
611,Bibb County,1105 - Springdale Elementary School,*,GA,2020-2021
611,Bibb County,1067 - Porter Elementary School,*,GA,2020-2021
611,Bibb County,1310 - John Robert Lewis Elementary School,*,GA,2020-2021
611,Bibb County,0705 - Union Elementary School,*,GA,2020-2021
611,Bibb County,1205 - Carter Elementary School,*,GA,2020-2021
611,Bibb County,0307 - Price Academy,#,GA,2020-2021
611,Bibb County,0505 - Weaver Middle School,*,GA,2020-2021
611,Bibb County,0286 - Northeast High School,*,GA,2020-2021
611,Bibb County,0405 - Rosa Taylor Elementary School,*,GA,2020-2021
611,Bibb County,0204 - Rutland High School,*,GA,2020-2021
611,Bibb County,0605 - Heritage Elementary School,*,GA,2020-2021
611,Bibb County,0105 - Howard High School,*,GA,2020-2021
611,Bibb County,5050 - Appling Middle School,*,GA,2020-2021
611,Bibb County,0108 - Ballard Hudson Middle School,*,GA,2020-2021
611,Bibb County,0103 - Skyview Elementary School,*,GA,2020-2021
611,Bibb County,1309 - Veterans Elementary School,*,GA,2020-2021
611,Bibb County,3067 - Ingram/Pye Elementary School,*,GA,2020-2021
611,Bibb County,0104 - Burdell Elementary School,*,GA,2020-2021
611,Bibb County,1054 - Bernd Elementary School,*,GA,2020-2021
611,Bibb County,1307 - Southfield Elementary School,*,GA,2020-2021
611,Bibb County,0109 - Bruce Elementary School,*,GA,2020-2021
611,Bibb County,1306 - Martin Luther King Jr Elementary School,*,GA,2020-2021
611,Bibb County,0383 - Williams Elementary School,*,GA,2020-2021
611,Bibb County,1305 - Lane Elementary School,*,GA,2020-2021
611,Bibb County,0298 - Miller Magnet Middle School,*,GA,2020-2021
611,Bibb County,0186 - Central High School,*,GA,2020-2021
611,Bibb County,1050 - Alexander II Magnet School,*,GA,2020-2021
611,Bibb County,0205 - Howard Middle School,*,GA,2020-2021
611,Bibb County,0198 - Westside High School,*,GA,2020-2021
611,Bibb County,0305 - Rutland Middle School,*,GA,2020-2021
612,Bleckley County,0197 - Bleckley County Elementary School,70.87,GA,2020-2021
612,Bleckley County,0105 - Bleckley County High School,42.65,GA,2020-2021
612,Bleckley County,0112 - Bleckley Middle School,52.56,GA,2020-2021
612,Bleckley County,1050 - Bleckley County Primary School,70.85,GA,2020-2021
612,Bleckley County,0115 - Bleckley County Success Academy,70.91,GA,2020-2021
613,Brantley County,0110 - Atkinson Elementary School,71.64,GA,2020-2021
613,Brantley County,0294 - Nahunta Elementary School,76.7,GA,2020-2021
613,Brantley County,1050 - Brantley County High School,69.5,GA,2020-2021
613,Brantley County,2050 - Hoboken Elementary School,71.2,GA,2020-2021
613,Brantley County,0101 - Waynesville Primary School,69.76,GA,2020-2021
613,Brantley County,0194 - Brantley County Middle School,71.89,GA,2020-2021
613,Brantley County,3050 - Nahunta Primary School,71.68,GA,2020-2021
763,Bremen City,2050 - Jones Elementary School,17.07,GA,2020-2021
763,Bremen City,0209 - Bremen Middle School,15.38,GA,2020-2021
763,Bremen City,0201 - Bremen High School,13.57,GA,2020-2021
763,Bremen City,0110 - Bremen 4th & 5th Grade Academy,18.32,GA,2020-2021
614,Brooks County,0110 - Brooks County High School,*,GA,2020-2021
614,Brooks County,0394 - Delta Innovative School,*,GA,2020-2021
614,Brooks County,0197 - Brooks County Middle School,*,GA,2020-2021
614,Brooks County,0193 - Quitman Elementary School,*,GA,2020-2021
614,Brooks County,0393 - North Brooks Elementary School,*,GA,2020-2021
615,Bryan County,0202 - Richmond Hill Primary School,33.22,GA,2020-2021
615,Bryan County,0402 - Bryan County Middle School,57.47,GA,2020-2021
615,Bryan County,0504 - Frances Meeks Elementary School,10.95,GA,2020-2021
615,Bryan County,0503 - McAllister Elementary School,8.85,GA,2020-2021
615,Bryan County,0199 - Richmond Hill Middle School,24.62,GA,2020-2021
615,Bryan County,0182 - Richmond Hill High School,20.51,GA,2020-2021
615,Bryan County,0502 - Bryan County High School,57.49,GA,2020-2021
615,Bryan County,0282 - Lanier Primary School,58.91,GA,2020-2021
615,Bryan County,0101 - Dr. George Washington Carver Elementary School,39.3,GA,2020-2021
615,Bryan County,0286 - Bryan County Elementary School,61.71,GA,2020-2021
615,Bryan County,0302 - Richmond Hill Elementary School,33.5,GA,2020-2021
764,Buford City,0292 - Buford Senior Academy,34.76,GA,2020-2021
764,Buford City,0191 - Buford High School,28.95,GA,2020-2021
764,Buford City,0104 - Buford Middle School,33.84,GA,2020-2021
764,Buford City,0100 - Buford Academy,31.32,GA,2020-2021
764,Buford City,0196 - Buford Elementary School,27.99,GA,2020-2021
616,Bulloch County,4052 - Portal Middle/High School,59.17,GA,2020-2021
616,Bulloch County,0299 - Langston Chapel Middle School,*,GA,2020-2021
616,Bulloch County,0198 - William James Middle School,55,GA,2020-2021
616,Bulloch County,0203 - Southeast Bulloch High School,37.96,GA,2020-2021
616,Bulloch County,0100 - Mill Creek Elementary School,70.65,GA,2020-2021
616,Bulloch County,5054 - Sallie Zetterower Elementary School,70.29,GA,2020-2021
616,Bulloch County,0399 - Portal Elementary School,70.75,GA,2020-2021
616,Bulloch County,0300 - Southeast Bulloch Middle School,42.74,GA,2020-2021
616,Bulloch County,2050 - Julia P. Bryant Elementary School,51.83,GA,2020-2021
616,Bulloch County,5050 - Mattie Lively Elementary School,75.54,GA,2020-2021
616,Bulloch County,2054 - Statesboro High School,55.56,GA,2020-2021
616,Bulloch County,0199 - Langston Chapel Elementary School,*,GA,2020-2021
616,Bulloch County,3054 - Stilson Elementary School,52.88,GA,2020-2021
616,Bulloch County,0200 - Brooklet Elementary School,35.97,GA,2020-2021
616,Bulloch County,0107 - Nevils Elementary School,51.84,GA,2020-2021
617,Burke County,2056 - Waynesboro Primary School,*,GA,2020-2021
617,Burke County,0188 - Burke County Middle School,*,GA,2020-2021
617,Burke County,0196 - S G A Elementary School,*,GA,2020-2021
617,Burke County,0288 - Burke County High School,*,GA,2020-2021
617,Burke County,0104 - Blakeney Elementary,*,GA,2020-2021
618,Butts County,0111 - Jackson Elementary School,88.61,GA,2020-2021
618,Butts County,0190 - Jackson High School,88.52,GA,2020-2021
618,Butts County,0100 - Henderson Middle School,88.56,GA,2020-2021
618,Butts County,0108 - Stark Elementary School,88.64,GA,2020-2021
618,Butts County,0104 - Hampton L. Daughtry Elementary School,88.58,GA,2020-2021
765,Calhoun City,0205 - Calhoun Middle School,55.21,GA,2020-2021
765,Calhoun City,3050 - Calhoun High School,45.84,GA,2020-2021
765,Calhoun City,0405 - Calhoun Elementary School,62,GA,2020-2021
619,Calhoun County,0213 - Calhoun County Middle School,*,GA,2020-2021
619,Calhoun County,0179 - Calhoun County Elementary School,*,GA,2020-2021
619,Calhoun County,0113 - Calhoun County High School,*,GA,2020-2021
620,Camden County,0187 - Crooked River Elementary School,42.51,GA,2020-2021
620,Camden County,0495 - Mary Lee Clark Elementary School,48.94,GA,2020-2021
620,Camden County,0105 - Saint Marys Middle School,43.47,GA,2020-2021
620,Camden County,0195 - David L Rainer Elementary School,48.48,GA,2020-2021
620,Camden County,0182 - Camden Middle School,47.29,GA,2020-2021
620,Camden County,0197 - Sugarmill Elementary,34.1,GA,2020-2021
620,Camden County,0295 - Camden County High School,40.64,GA,2020-2021
620,Camden County,0110 - Saint Marys Elementary School,47.83,GA,2020-2021
620,Camden County,0193 - Kingsland Elementary School,49.71,GA,2020-2021
620,Camden County,0100 - Mamie Lou Gross Elementary School,58.64,GA,2020-2021
620,Camden County,0192 - Woodbine Elementary School,59.08,GA,2020-2021
620,Camden County,0189 - Matilda Harris Elementary School,43.3,GA,2020-2021
621,Candler County,0303 - Metter College and Career Academy,83.95,GA,2020-2021
621,Candler County,0102 - Metter Middle School,84.06,GA,2020-2021
621,Candler County,0101 - Metter High School,84.17,GA,2020-2021
621,Candler County,0302 - Metter Elementary School,84.15,GA,2020-2021
622,Carroll County,0405 - Ithica Elementary,50.72,GA,2020-2021
622,Carroll County,0102 - Temple Middle School,65.05,GA,2020-2021
622,Carroll County,0477 - Whitesburg Elementary School,62.32,GA,2020-2021
622,Carroll County,0198 - Bay Springs Middle School,56.93,GA,2020-2021
622,Carroll County,0100 - Sharp Creek Elementary School,76.29,GA,2020-2021
622,Carroll County,0189 - Temple High School,56.63,GA,2020-2021
622,Carroll County,5050 - Central Elementary School,45.81,GA,2020-2021
622,Carroll County,1054 - Temple Elementary School,70.02,GA,2020-2021
622,Carroll County,0705 - Villa Rica Elementary School,64.19,GA,2020-2021
622,Carroll County,0605 - Glanton-Hindsman Elementary,59.38,GA,2020-2021
622,Carroll County,2050 - Bowdon Elementary School,61.43,GA,2020-2021
622,Carroll County,5054 - Villa Rica High School,48.36,GA,2020-2021
622,Carroll County,0212 - Mt. Zion High School,57.34,GA,2020-2021
622,Carroll County,5052 - Sand Hill Elementary School,53.31,GA,2020-2021
622,Carroll County,0112 - KidsPeace,*,GA,2020-2021
622,Carroll County,0176 - Mount Zion Elementary School,70.64,GA,2020-2021
622,Carroll County,0177 - Central Middle School,47.63,GA,2020-2021
622,Carroll County,0208 - Mt. Zion Middle School,69.91,GA,2020-2021
622,Carroll County,0115 - Providence Elementary School,53.05,GA,2020-2021
622,Carroll County,0101 - Bowdon Middle School,64.77,GA,2020-2021
622,Carroll County,2052 - Central High School,43,GA,2020-2021
622,Carroll County,0305 - Villa Rica Middle,60.47,GA,2020-2021
622,Carroll County,0377 - Roopville Elementary School,47.09,GA,2020-2021
622,Carroll County,3050 - Bowdon High School,45.67,GA,2020-2021
766,Carrollton City,0193 - Carrollton Elementary School,56.65,GA,2020-2021
766,Carrollton City,0106 - Carrollton Upper Elementary School,55,GA,2020-2021
766,Carrollton City,1550 - Carrollton Jr. High School,47.96,GA,2020-2021
766,Carrollton City,1050 - Carrollton High School,37,GA,2020-2021
767,Cartersville City,0177 - Cartersville Primary School,51.42,GA,2020-2021
767,Cartersville City,2050 - Cartersville High School,35.55,GA,2020-2021
767,Cartersville City,0191 - Cartersville Elementary School,50.85,GA,2020-2021
767,Cartersville City,0277 - Cartersville Middle School,42.87,GA,2020-2021
623,Catoosa County,0100 - Ringgold Primary School,44.77,GA,2020-2021
623,Catoosa County,2552 - Lakeview Middle School,63.95,GA,2020-2021
623,Catoosa County,0185 - Tiger Creek Elementary School,57.81,GA,2020-2021
623,Catoosa County,1052 - Lakeview-Fort Oglethorpe High School,50.68,GA,2020-2021
623,Catoosa County,4052 - Ringgold High School,28.84,GA,2020-2021
623,Catoosa County,0102 - Battlefield Primary,47.42,GA,2020-2021
623,Catoosa County,5050 - Graysville Elementary School,31.05,GA,2020-2021
623,Catoosa County,0109 - Heritage High School,22.74,GA,2020-2021
623,Catoosa County,3050 - Cloud Springs Elementary School,74.07,GA,2020-2021
623,Catoosa County,5052 - Ringgold Middle School,43.72,GA,2020-2021
623,Catoosa County,0103 - Battlefield Elementary School,46.21,GA,2020-2021
623,Catoosa County,3052 - Ringgold Elementary School,39.57,GA,2020-2021
623,Catoosa County,0105 - Woodstation Elementary School,40.11,GA,2020-2021
623,Catoosa County,0205 - Heritage Middle School,29.54,GA,2020-2021
623,Catoosa County,1050 - Boynton Elementary School,29.81,GA,2020-2021
623,Catoosa County,1054 - West Side Elementary School,69,GA,2020-2021
624,Charlton County,0199 - Folkston Elementary School,75.06,GA,2020-2021
624,Charlton County,4050 - St. George Elementary School,76.25,GA,2020-2021
624,Charlton County,0112 - Bethune Middle School,75.13,GA,2020-2021
624,Charlton County,0287 - Charlton County High School,60.45,GA,2020-2021
626,Chattahoochee County,0206 - Chattahoochee County High School,61.38,GA,2020-2021
626,Chattahoochee County,0106 - Chattahoochee County Middle School,85.79,GA,2020-2021
